idx,uniqueid,id,maxclass,numinlets,numoutlets,patchx,patchy,parent,abstype,text,displayname
358,obj-371_root,obj-371,flonum,1,2,254.30714300000005,198.0,root,standard,,flonum
359,obj-372_root,obj-372,toggle,1,1,200.057143,-223.5,root,standard,,toggle
360,obj-370_root,obj-370,toggle,1,1,169.557143,-223.5,root,standard,,toggle
361,obj-9_obj-367_root,obj-9,newobj,1,1,270.0,318.0,obj-367_root,standard,pass~,pass~
362,obj-8_obj-367_root,obj-8,newobj,1,1,323.3333333333333,355.0,obj-367_root,standard,pass~,pass~
363,obj-1_obj-367_root,obj-1,newobj,2,1,323.3333333333333,318.0,obj-367_root,standard,*~ 2,*~ 2
364,obj-21_obj-367_root,obj-21,newobj,1,1,290.0,40.0,obj-367_root,standard,receive~ toHPSS,receive~ toHPSS
365,obj-20_obj-367_root,obj-20,inlet,0,1,168.0,49.0,obj-367_root,standard,,inlet
366,obj-19_obj-367_root,obj-19,inlet,0,1,102.0,49.0,obj-367_root,standard,,inlet
367,obj-7_obj-367_root,obj-7,newobj,2,1,323.3333333333333,275.0,obj-367_root,standard,gate~,gate~
368,obj-6_obj-367_root,obj-6,newobj,2,1,270.0,275.0,obj-367_root,standard,gate~,gate~
369,obj-5_obj-367_root,obj-5,outlet,1,0,323.3333333333333,398.0,obj-367_root,standard,,outlet
370,obj-4_obj-367_root,obj-4,outlet,1,0,270.0,398.0,obj-367_root,standard,,outlet
371,obj-3_obj-367_root,obj-3,inlet,0,1,48.0,49.0,obj-367_root,standard,,inlet
372,obj-2_obj-367_root,obj-2,comment,1,0,58.0,313.0,obj-367_root,standard,harmonic 1 percussion 2,harmonic 1 percussion 2
373,obj-150_obj-367_root,obj-150,attrui,1,1,360.5,109.0,obj-367_root,standard,,attrui
374,obj-156_obj-367_root,obj-156,newobj,1,4,290.0,203.0,obj-367_root,standard,fluid.hpss~ @percfiltersize 30,fluid.hpss~ @percfiltersize 30
375,obj-367_root,obj-367,newobj,3,2,119.057143,-185.5,root,abstraction,lh.hpss~,lh.hpss~
376,obj-53_root,obj-53,newobj,2,1,757.057144,-87.5,root,standard,== 0,== 0
377,obj-307_root,obj-307,number,1,2,757.057144,-200.0,root,standard,,number
378,obj-192_root,obj-192,newobj,1,0,757.057144,-25.0,root,standard,send~ toHPSS,send~ toHPSS
379,obj-274_root,obj-274,newobj,1,0,638.5,-25.0,root,standard,send~ toHPSS,send~ toHPSS
380,obj-4_obj-295_root,obj-4,newobj,1,1,476.0,16.0,obj-295_root,standard,loadmess 157,loadmess 157
381,obj-3_obj-295_root,obj-3,newobj,1,1,289.0,16.0,obj-295_root,standard,loadmess 20,loadmess 20
382,obj-2_obj-295_root,obj-2,inlet,0,1,35.0,138.0,obj-295_root,standard,,inlet
383,obj-1_obj-295_root,obj-1,newobj,1,1,294.0,521.0,obj-295_root,standard,pass~,pass~
384,obj-15_obj-295_root,obj-15,newobj,0,1,404.0,26.0,obj-295_root,standard,r eloop2,r eloop2
385,obj-13_obj-295_root,obj-13,newobj,0,1,226.0,26.0,obj-295_root,standard,r speed2,r speed2
386,obj-12_obj-295_root,obj-12,newobj,1,1,508.0,278.0,obj-295_root,standard,loadmess 0.05,loadmess 0.05
387,obj-11_obj-295_root,obj-11,outlet,1,0,294.0,565.0,obj-295_root,standard,,outlet
388,obj-10_obj-295_root,obj-10,comment,1,0,11.0,16.0,obj-295_root,standard,Pulsar synth plugs in here. Here is a demo example from roger.carruthers @c74,Pulsar synth plugs in here. Here is a demo example from roger.carruthers @c74
389,obj-62_obj-295_root,obj-62,comment,1,0,508.0,325.0,obj-295_root,standard,slope,slope
